Name,Overall_Rating,Cuisine,Rate for two,City,Review
Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"Been to this place 3-4 times. Prakash is always very sweet and accommodating. Plus always ask Vaibhav to make your shakes, they are perfect!!"
Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"I recently visited Oliver Brown on a weekend for a cup of iced coffee, and I was thoroughly impressed. The ambience was inviting, the seating comfortable, and the service top-notch. I had the pleasure of trying their iced coffee and dark hot chocolate, both of which were absolutely delicious. It's an excellent place overall, and I'm already looking forward to my next visit"
Crush Coffee,3,"Cafe, Shake, Beverages, Desserts",600,ahmedabad,Very watery ans thin shake
The Mohalla,3.8,Cafe,550,ahmedabad,it was not cheese burst pizza.. only cheeze was on the top.. not happy with the pizza sent made today
The Mohalla,3.8,Cafe,550,ahmedabad,"Yammi.,....test burger is best I love 💗 this BergerAnd fry is also missing 😂Love ❤️ you ........"
The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,"food was not spicy , which I was told to restorant on call and instructions. "
The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,Punjabi Thali is great. The taste was good and paratha was the star. The reason simple being provided instead of maida made Naan. So overall mindful serving to customer and liked it
Hobnob Bistro,3.7,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","1,000",ahmedabad,The owner didn't let us sit in the AC though it was not at all reserved. We already had booked our table priorly then also he didn't give us the AC table to sit. He said that you should call us and book the AC table but no one ever picks the call at all. 
Mleko,4.8,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",800,ahmedabad,Both coffees were spilled and the box of pasta was opened up with coffee in the pastaWe need the money back since the items were completely inedible.i wish i had negative stars
Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,washroom was not available. had to use mall's security guard's washroom
Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,waiters denied to serve the food
Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,not tasty today food 
Unlocked,4,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","1,200",ahmedabad,potion size has reduced. quality of food is nice 
Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,Zomato shows 15% off on dining bill and the owner says we can offer 15% discount only if the bill is a minimum of Rs. 1000. Zomato doesn't mention any such thing but these guys have their own rules.What a joke! Customer banne se pehle hi customer tut gaya. 
